time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-06-30T06:46:38.000Z,21.77067243,72.15259341,-30.389495849609375,9.648001,46.8,1.44,21,gps,,,,,,,,26,
2020-06-30T06:46:39.000Z,21.77068399,72.15260681,-30.766937255859375,9.648001,40.7,1.45,21,gps,,,,,,,,26,
2020-06-30T06:46:40.000Z,21.77069648,72.15261951,-31.224151611328125,9.648001,34.8,1.46,21,gps,,,,,,,,26,
2020-06-30T06:46:16.384Z,21.7704012,72.1524462,-33.30000305175781,20.667,,,0,network,,,,,,,,26,
2020-06-30T06:46:41.000Z,21.7707098,72.15263016,-31.087615966796875,9.648001,22.5,1.48,21,gps,,,,,,,,26,
2020-06-30T06:46:42.000Z,21.77072278,72.15263849,-32.08428955078125,9.648001,34.1,1.48,21,gps,,,,,,,,26,
2020-06-30T06:46:43.000Z,21.77073559,72.152648,-32.209381103515625,9.648001,33.4,1.47,21,gps,,,,,,,,26,
2020-06-30T06:46:44.000Z,21.77074622,72.15265997,-31.9915771484375,9.648001,47.4,1.54,21,gps,,,,,,,,26,
2020-06-30T06:46:36.555Z,21.7707715,72.1526798,-33.400001525878906,24.507,,,0,network,,,,,,,,26,
2020-06-30T06:46:45.000Z,21.77075282,72.15267409,-32.87335205078125,9.648001,58.6,1.57,20,gps,,,,,,,,26,
2020-06-30T06:46:46.000Z,21.770753,72.15268384,-32.758270263671875,9.648001,137.5,0.49,19,gps,,,,,,,,26,
2020-06-30T06:46:47.000Z,21.77075003,72.15268988,-32.92938232421875,9.648001,101.9,0.56,19,gps,,,,,,,,26,
2020-06-30T06:46:48.000Z,21.77074191,72.1527011,-32.853973388671875,9.648001,122.6,1.47,19,gps,,,,,,,,26,
2020-06-30T06:46:49.000Z,21.77073324,72.15271659,-32.85498046875,9.648001,111.7,1.46,16,gps,,,,,,,,26,
2020-06-30T06:46:50.000Z,21.77072621,72.15273195,-32.735015869140625,9.648001,111.9,1.45,14,gps,,,,,,,,26,
2020-06-30T06:46:51.000Z,21.77072082,72.15274706,-32.70330810546875,9.648001,104.6,1.44,12,gps,,,,,,,,26,
2020-06-30T06:46:52.000Z,21.77071675,72.15276209,-32.733001708984375,10.72,105.0,1.43,10,gps,,,,,,,,26,
2020-06-30T06:46:53.000Z,21.77071383,72.1527769,-32.676025390625,10.72,101.8,1.42,9,gps,,,,,,,,26,
2020-06-30T06:46:54.000Z,21.77070737,72.15279157,-32.559722900390625,11.792,101.1,1.45,10,gps,,,,,,,,26,
2020-06-30T06:46:55.000Z,21.77070727,72.15280604,-32.58154296875,11.792,68.0,1.51,9,gps,,,,,,,,26,
2020-06-30T06:46:56.000Z,21.77071214,72.15282018,-32.615325927734375,12.864,66.4,1.55,8,gps,,,,,,,,26,
2020-06-30T06:46:57.000Z,21.77071453,72.15283505,-32.649139404296875,12.864,84.0,1.55,6,gps,,,,,,,,26,
2020-06-30T06:46:58.000Z,21.77071269,72.15285058,-32.682952880859375,13.936001,101.1,1.6,5,gps,,,,,,,,26,
2020-06-30T06:46:59.000Z,21.7707111,72.15286627,-32.716766357421875,15.008,91.8,1.59,4,gps,,,,,,,,26,
2020-06-30T06:47:00.000Z,21.77070841,72.15288112,-32.750579833984375,16.08,108.2,1.53,1,gps,,,,,,,,26,
2020-06-30T06:47:01.000Z,21.77070709,72.15289567,-32.784393310546875,18.224,91.8,1.5,1,gps,,,,,,,,26,
2020-06-30T06:47:02.000Z,21.77070317,72.1529078,-32.81817626953125,19.296001,135.7,1.42,1,gps,,,,,,,,26,
2020-06-30T06:47:03.000Z,21.77069249,72.15291099,-32.85198974609375,20.368,183.2,1.37,1,gps,,,,,,,,26,
2020-06-30T06:47:04.000Z,21.77068092,72.15290659,-32.88580322265625,20.368,201.1,1.34,1,gps,,,,,,,,26,
2020-06-30T06:47:05.000Z,21.77066941,72.15290147,-32.91961669921875,20.368,196.2,1.36,1,gps,,,,,,,,26,
2020-06-30T06:47:06.000Z,21.77065862,72.15289451,-32.95343017578125,20.368,213.4,1.38,3,gps,,,,,,,,26,
